forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-03-01,1 wk ahead inc death,2021-03-06,GM,Germany,quantile,0.01,1304
2021-03-01,1 wk ahead inc death,2021-03-06,GM,Germany,quantile,0.025,1361
2021-03-01,1 wk ahead inc death,2021-03-06,GM,Germany,quantile,0.05,1411
2021-03-01,1 wk ahead inc death,2021-03-06,GM,Germany,quantile,0.1,1470
2021-03-01,1 wk ahead inc death,2021-03-06,GM,Germany,quantile,0.15,1511
2021-03-01,1 wk ahead inc death,2021-03-06,GM,Germany,quantile,0.2,1544
2021-03-01,1 wk ahead inc death,2021-03-06,GM,Germany,quantile,0.25,1573
2021-03-01,1 wk ahead inc death,2021-03-06,GM,Germany,quantile,0.3,1599
2021-03-01,1 wk ahead inc death,2021-03-06,GM,Germany,quantile,0.35,1623
2021-03-01,1 wk ahead inc death,2021-03-06,GM,Germany,quantile,0.4,1646
2021-03-01,1 wk ahead inc death,2021-03-06,GM,Germany,quantile,0.45,1669
2021-03-01,1 wk ahead inc death,2021-03-06,GM,Germany,quantile,0.5,1692
2021-03-01,1 wk ahead inc death,2021-03-06,GM,Germany,quantile,0.55,1715
2021-03-01,1 wk ahead inc death,2021-03-06,GM,Germany,quantile,0.6,1738
2021-03-01,1 wk ahead inc death,2021-03-06,GM,Germany,quantile,0.65,1763
2021-03-01,1 wk ahead inc death,2021-03-06,GM,Germany,quantile,0.7,1789
2021-03-01,1 wk ahead inc death,2021-03-06,GM,Germany,quantile,0.75,1817
2021-03-01,1 wk ahead inc death,2021-03-06,GM,Germany,quantile,0.8,1849
2021-03-01,1 wk ahead inc death,2021-03-06,GM,Germany,quantile,0.85,1887
2021-03-01,1 wk ahead inc death,2021-03-06,GM,Germany,quantile,0.9,1935
2021-03-01,1 wk ahead inc death,2021-03-06,GM,Germany,quantile,0.95,2007
2021-03-01,1 wk ahead inc death,2021-03-06,GM,Germany,quantile,0.975,2072
2021-03-01,1 wk ahead inc death,2021-03-06,GM,Germany,quantile,0.99,2148
2021-03-01,1 wk ahead inc death,2021-03-06,GM,Germany,point,NA,1692
2021-03-01,2 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.01,1047
2021-03-01,2 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.025,1093
2021-03-01,2 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.05,1133
2021-03-01,2 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.1,1181
2021-03-01,2 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.15,1214
2021-03-01,2 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.2,1241
2021-03-01,2 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.25,1264
2021-03-01,2 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.3,1285
2021-03-01,2 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.35,1305
2021-03-01,2 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.4,1324
2021-03-01,2 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.45,1342
2021-03-01,2 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.5,1361
2021-03-01,2 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.55,1379
2021-03-01,2 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.6,1398
2021-03-01,2 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.65,1418
2021-03-01,2 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.7,1439
2021-03-01,2 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.75,1462
2021-03-01,2 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.8,1488
2021-03-01,2 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.85,1518
2021-03-01,2 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.9,1557
2021-03-01,2 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.95,1616
2021-03-01,2 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.975,1668
2021-03-01,2 wk ahead inc death,2021-03-13,GM,Germany,quantile,0.99,1730
2021-03-01,2 wk ahead inc death,2021-03-13,GM,Germany,point,NA,1361
