forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-03-26,1 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.01,869
2021-03-26,1 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.025,906
2021-03-26,1 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.05,939
2021-03-26,1 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.1,978
2021-03-26,1 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.15,1005
2021-03-26,1 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.2,1027
2021-03-26,1 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.25,1045
2021-03-26,1 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.3,1062
2021-03-26,1 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.35,1078
2021-03-26,1 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.4,1094
2021-03-26,1 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.45,1109
2021-03-26,1 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.5,1123
2021-03-26,1 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.55,1138
2021-03-26,1 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.6,1154
2021-03-26,1 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.65,1170
2021-03-26,1 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.7,1187
2021-03-26,1 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.75,1205
2021-03-26,1 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.8,1226
2021-03-26,1 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.85,1251
2021-03-26,1 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.9,1282
2021-03-26,1 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.95,1329
2021-03-26,1 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.975,1371
2021-03-26,1 wk ahead inc death,2021-04-03,GM,Germany,quantile,0.99,1421
2021-03-26,1 wk ahead inc death,2021-04-03,GM,Germany,point,NA,1123
2021-03-26,2 wk ahead inc death,2021-04-10,GM,Germany,quantile,0.01,987
2021-03-26,2 wk ahead inc death,2021-04-10,GM,Germany,quantile,0.025,1030
2021-03-26,2 wk ahead inc death,2021-04-10,GM,Germany,quantile,0.05,1067
2021-03-26,2 wk ahead inc death,2021-04-10,GM,Germany,quantile,0.1,1111
2021-03-26,2 wk ahead inc death,2021-04-10,GM,Germany,quantile,0.15,1141
2021-03-26,2 wk ahead inc death,2021-04-10,GM,Germany,quantile,0.2,1165
2021-03-26,2 wk ahead inc death,2021-04-10,GM,Germany,quantile,0.25,1187
2021-03-26,2 wk ahead inc death,2021-04-10,GM,Germany,quantile,0.3,1206
2021-03-26,2 wk ahead inc death,2021-04-10,GM,Germany,quantile,0.35,1224
2021-03-26,2 wk ahead inc death,2021-04-10,GM,Germany,quantile,0.4,1241
2021-03-26,2 wk ahead inc death,2021-04-10,GM,Germany,quantile,0.45,1258
2021-03-26,2 wk ahead inc death,2021-04-10,GM,Germany,quantile,0.5,1275
2021-03-26,2 wk ahead inc death,2021-04-10,GM,Germany,quantile,0.55,1292
2021-03-26,2 wk ahead inc death,2021-04-10,GM,Germany,quantile,0.6,1309
2021-03-26,2 wk ahead inc death,2021-04-10,GM,Germany,quantile,0.65,1327
2021-03-26,2 wk ahead inc death,2021-04-10,GM,Germany,quantile,0.7,1346
2021-03-26,2 wk ahead inc death,2021-04-10,GM,Germany,quantile,0.75,1367
2021-03-26,2 wk ahead inc death,2021-04-10,GM,Germany,quantile,0.8,1391
2021-03-26,2 wk ahead inc death,2021-04-10,GM,Germany,quantile,0.85,1418
2021-03-26,2 wk ahead inc death,2021-04-10,GM,Germany,quantile,0.9,1454
2021-03-26,2 wk ahead inc death,2021-04-10,GM,Germany,quantile,0.95,1507
2021-03-26,2 wk ahead inc death,2021-04-10,GM,Germany,quantile,0.975,1555
2021-03-26,2 wk ahead inc death,2021-04-10,GM,Germany,quantile,0.99,1611
2021-03-26,2 wk ahead inc death,2021-04-10,GM,Germany,point,NA,1275
